category,size,Frequency
C7~7081,1,24
C7~7036,1,16
C7~7030,1,11
C5~898,1,81
C6~3195,1,78
C7~7076,1,78
C5~899,1,70
C6~3196,1,70
C7~7077,1,70
C6~3183,1,5
C7~7055,1,3
C6~3157,1,128
C7~7001,1,128
C5~891,1,94
C6~3161,1,40
C7~7005,1,40
C6~3162,1,43
C7~7006,1,43
C6~3160,1,4
C7~7004,1,4
C6~3163,1,2
C7~7007,1,2
C6~3164,1,5
C7~7008,1,5
C3~20,1,2632
C4~160,1,894
C5~949,1,99
C6~3342,1,28
C7~7360,1,28
C5~939,1,25
C6~3302,1,13
C7~7236,1,13
C5~938,1,89
C6~3300,1,55
C7~7230,1,55
C5~941,1,13
C6~3306,1,13
C7~7252,1,13
C6~3298,1,10
C7~7220,1,10
C5~940,1,10
C6~3304,1,10
C7~7246,1,10
C4~169,1,527
C5~1000,1,275
C6~3477,1,275
C7~7642,1,275
C6~3339,1,23
C7~7357,1,23
C5~942,1,115
C6~3315,1,15
C7~7277,1,15
C5~937,1,10
C6~3292,1,10
C7~7214,1,10
C5~936,1,165
C6~3291,1,165
C7~7213,1,165
C6~3299,1,24
C7~7225,1,24
C5~945,1,69
C6~3329,1,67
C7~7335,1,67
C6~3314,1,23
C7~7272,1,23
C5~944,1,97
C6~3327,1,18
C7~7329,1,18
C5~943,1,34
C6~3320,1,26
C7~7298,1,26
C5~948,1,30
C6~3337,1,30
C7~7355,1,30
C5~946,1,59
C6~3332,1,59
C7~7338,1,59
