word,id,cnt
LEMONADE,834,1538
TOTE,835,1537
C6~11300,836,1535
C7~23889,837,1535
CLEAN,838,1534
C4~1166,839,1531
C6~10,840,1527
C5~5618,841,1527
FISH,842,1525
C3~60,843,1522
POWDER,844,1519
KITCHEN,845,1514
DRINK,846,1511
C3~6,847,1508
Y,848,1505
C4~280,849,1504
C4~754,850,1501
THIN,851,1495
EYE,852,1493
POUCH,853,1493
C5~4168,854,1493
C6~12866,855,1493
C7~26970,856,1493
PALLET,857,1492
I,858,1490
LONG,859,1487
SIGN,860,1487
C4~263,861,1486
PLASTIC,862,1484
C5~4349,863,1482
C6~13316,864,1482
C7~27866,865,1482
C4~816,866,1481
MULTI-BILLING,867,1480
WATERMELON,868,1479
LIEBERS,869,1477
GRAIN,870,1475
ASST,871,1475
VEGETABLE,872,1474
C4~433,873,1473
TOY,874,1471
PEPPERMINT,875,1468
MAPLE,876,1466
C4~53,877,1464
METAL,878,1462
PLATTER,879,1461
SIP,880,1459
LABEL,881,1455
C4~954,882,1455
RINGS,883,1454
NUT,884,1451
BIR,885,1450
C4~256,886,1447
EL,887,1445
C4~990,888,1445
C4~817,889,1442
C6~5636,890,1440
FLAVOR,891,1438
DINNER,892,1436
C4~475,893,1436
PURE,894,1435
READY2EAT,895,1434
C5~2147,896,1431
LID,897,1430
C4~934,898,1426
C4~89,899,1423
CHEESECAKE,900,1421
CONDITIONER,901,1420
POPCORN,902,1416
C4~1047,903,1415
C5~5161,904,1406
MG,905,1400
C4~894,906,1400
C5~5584,907,1400
BROWNIE,908,1399
ISLAND,909,1391
SOLUTION,910,1391
FUDGE,911,1389
HOLDER,912,1387
C5~4609,913,1387
C4~56,914,1384
LOTION,915,1378
C6~13377,916,1377
C7~27950,917,1377
C4~797,918,1373
C5~5287,919,1370
TEQUILA,920,1369
FUN,921,1367
C4~104,922,1366
P,923,1365
C5~5290,924,1364
ICED,925,1362
LAYER,926,1355
C5~896,927,1353
CUPS,928,1352
EGGS,929,1350
TEE,930,1350
C5~6794,931,1350
C6~21363,932,1350
C7~45710,933,1350
AIR,934,1349
C4~255,935,1348
C6~18871,936,1348
C6~21163,937,1348
C7~45375,938,1348
C4~837,939,1347
SHEET,940,1344
FT,941,1341
TUMBLER,942,1340
C5~5689,943,1340
CRUNCH,944,1335
TUNA,945,1334
PROTEIN,946,1333
C2~15,947,1332
C6~11413,948,1330
MILD,949,1329
CUPCAKES,950,1329
LOAF,951,1328
C5~6713,952,1328
FOIL,953,1326
LEAF,954,1326
COUNTRY,955,1325
PAN,956,1325
C7~38358,957,1324
SIMPLY,958,1323
CRE,959,1315
TWO,960,1314
C6~19248,961,1313
SOCKS,962,1311
C5~886,963,1310
TAG,964,1310
BOARS,965,1310
C3~15,966,1309
C4~18,967,1308
WATSON,968,1308
DIETZ,969,1307
SEASONAL,970,1306
IT,971,1306
C4~468,972,1304
C4~331,973,1303
C4~1179,974,1303
48,975,1302
HIGH,976,1302
CIDER,977,1302
C4~803,978,1301
C4~721,979,1299
PURPLE,980,1297
C3~21,981,1297
CALIFORNIA,982,1294
C6~13985,983,1294
SNACKS,984,1292
DISH,985,1292
C6~11594,986,1292
C4~911,987,1292
C5~5212,988,1292
C6~16190,989,1292
C7~32500,990,1292
C5~23,991,1290
C6~78,992,1290
C7~188,993,1290
C5~5247,994,1290
C4~657,995,1289
C5~3597,996,1289
C6~11287,997,1289
C7~23872,998,1289
COOKED,999,1288
C4~105,1000,1288
BRUSH,1001,1287
C6~6835,1002,1286
ME,1003,1285
C6~11493,1004,1285
C7~24279,1005,1285
TROPICAL,1006,1283
RESERVE,1007,1283
SLICE,1008,1283
FACE,1009,1279
BOOK,1010,1279
C1~3,1011,1274
C2~11,1012,1274
ADULT,1013,1265
C4~420,1014,1263
C5~4392,1015,1263
C6~13490,1016,1263
C7~28102,1017,1263
WINTER,1018,1261
STICKS,1019,1260
COVER,1020,1257
C5~21,1021,1256
C6~63,1022,1256
C7~123,1023,1256
CAR,1024,1256
POTATOES,1025,1253
RIVER,1026,1249
STUFFED,1027,1249
C5~5244,1028,1246
C4~930,1029,1242
ONE,1030,1241
COOLER,1031,1239
C4~1167,1032,1239
C5~4649,1033,1237
C6~14282,1034,1237
C7~29406,1035,1237
CITRUS,1036,1236
GLUTEN,1037,1235
FLOWER,1038,1233
SESAME,1039,1231
C4~952,1040,1231
ALMONDS,1041,1230
C7~9132,1042,1230
C5~6714,1043,1229
CASE,1044,1227
C4~54,1045,1227
C5~2546,1046,1227
C6~8164,1047,1227
C7~15947,1048,1227
C4~419,1049,1224
SYRUP,1050,1223
VALUE,1051,1222
PLAIN,1052,1220
C5~4350,1053,1220
DRIED,1054,1217
GRAND,1055,1216
CUPCAKE,1056,1215
ICING,1057,1214
BEACH,1058,1213
C5~5351,1059,1213
BARS,1060,1211
HARD,1061,1210
BREAKFAST,1062,1210
C5~3945,1063,1209
C6~12393,1064,1209
C7~26324,1065,1209
ZERO,1066,1206
LOREAL,1067,1206
GLITTER,1068,1205
PRO,1069,1204
C5~2291,1070,1203
C4~1034,1071,1203
BQT,1072,1200
C4~1183,1073,1200
CRAB,1074,1199
DELI,1075,1199
C5~423,1076,1191
JELLY,1077,1189
NAIL,1078,1188
36,1079,1186
RENTAL,1080,1186
GRASS,1081,1184
C4~982,1082,1183
C5~403,1083,1183
C6~1645,1084,1183
C7~4684,1085,1183
BASIL,1086,1178
C4~473,1087,1176
C5~20,1088,1175
C6~62,1089,1175
C7~122,1090,1175
COCOA,1091,1175
BRUT,1092,1175
RING,1093,1174
