,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
1353,CURRY_CUTS,9,3345,0,4,0,0,0,0,CURRY~2#:#CUTS~2,4.5#:#4.5,4.5,4.5,1
1354,CURRY_GRAM,3,3345,0,4,0,0,0,0,CURRY~2#:#GRAM~2,1.5#:#1.5,1.5,1.5,1
1355,CURRY_LICIOUS,4,3345,0,4,0,0,0,0,CURRY~2#:#LICIOUS~2,2.0#:#2.0,2.0,2.0,1
1356,PACK_SAUSAGE,4,3345,1,4,0,0,0,0,PACK~3#:#SAUSAGE~2,1.33#:#2.0,2.0,1.33,1
1357,GRAM_THIGH,4,3345,0,4,0,0,0,0,GRAM~2#:#THIGH~2,2.0#:#2.0,2.0,2.0,1
1358,BONELESS_THIGH,7,3345,0,4,0,0,0,0,BONELESS~2#:#THIGH~2,3.5#:#3.5,3.5,3.5,1
1359,PIECES_WHOLE,2,3345,0,4,0,0,0,0,PIECES~2#:#WHOLE~2,1.0#:#1.0,1.0,1.0,1
1360,GRAM_READY#TO,2,3345,0,4,0,0,0,0,GRAM~2#:#READY#TO~2,1.0#:#1.0,1.0,1.0,1
1361,CHICKEN_FILLET,13,3345,0,4,0,0,0,0,CHICKEN~3#:#FILLET~2,4.33#:#6.5,6.5,4.33,1
1362,FILLET_PACK,9,3345,1,4,0,0,0,0,FILLET~2#:#PACK~3,4.5#:#3.0,4.5,3.0,1
1363,PACK_THIN,3,3345,1,4,0,0,0,0,PACK~3#:#THIN~2,1.0#:#1.5,1.5,1.0,1
1364,BONELESS_FILLET,6,3345,0,4,0,0,0,0,BONELESS~2#:#FILLET~2,3.0#:#3.0,3.0,3.0,1
1365,CUTS_FILLET,2,3345,0,4,0,0,0,0,CUTS~2#:#FILLET~2,1.0#:#1.0,1.0,1.0,1
1366,FILLET_GRAM,4,3345,0,4,0,0,0,0,FILLET~2#:#GRAM~2,2.0#:#2.0,2.0,2.0,1
1367,BREAST_FILLET,7,3345,0,4,0,0,0,0,BREAST~2#:#FILLET~2,3.5#:#3.5,3.5,3.5,1
1368,FILLET_THIN,2,3345,0,4,0,0,0,0,FILLET~2#:#THIN~2,1.0#:#1.0,1.0,1.0,1
1369,GRAM_THIN,3,3345,0,4,0,0,0,0,GRAM~2#:#THIN~2,1.5#:#1.5,1.5,1.5,1
1370,CHICKEN_CURRY,8,3345,0,4,0,0,0,0,CHICKEN~3#:#CURRY~2,2.67#:#4.0,4.0,2.67,1
1371,CURRY_WHOLE,2,3345,0,4,0,0,0,0,CURRY~2#:#WHOLE~2,1.0#:#1.0,1.0,1.0,1
1372,GRAM_PIECES,2,3345,0,4,0,0,0,0,GRAM~2#:#PIECES~2,1.0#:#1.0,1.0,1.0,1
1373,PACK_SOUR,3,3345,1,4,0,0,0,0,PACK~3#:#SOUR~2,1.0#:#1.5,1.5,1.0,1
1374,BARBECUE_GRAM,2,3345,0,4,0,0,0,0,BARBECUE~2#:#GRAM~2,1.0#:#1.0,1.0,1.0,1
1375,BARBECUE_SAUCE,3,3345,0,4,0,0,0,0,BARBECUE~2#:#SAUCE~2,1.5#:#1.5,1.5,1.5,1
1376,BARBECUE_VEEBA,2,3345,0,4,0,0,0,0,BARBECUE~2#:#VEEBA~2,1.0#:#1.0,1.0,1.0,1
1377,BOTTLE_GRAM,7,3345,1,4,0,0,0,0,BOTTLE~2#:#GRAM~2,3.5#:#3.5,3.5,3.5,1
1378,BOTTLE_VEEBA,7,3345,1,4,0,0,0,0,BOTTLE~2#:#VEEBA~2,3.5#:#3.5,3.5,3.5,1
1379,GRAM_VEEBA,9,3345,0,4,0,0,0,0,GRAM~2#:#VEEBA~2,4.5#:#4.5,4.5,4.5,1
1380,MARINADE_SAUCE,3,3345,0,4,0,0,0,0,MARINADE~2#:#SAUCE~2,1.5#:#1.5,1.5,1.5,1
1381,MASALA_PACK,3,3345,1,4,0,0,0,0,MASALA~2#:#PACK~3,1.5#:#1.0,1.5,1.0,1
1382,PACK_SEASONING,3,3345,1,4,0,0,0,0,PACK~3#:#SEASONING~2,1.0#:#1.5,1.5,1.0,1
1383,GRAM_MASALA,3,3345,0,4,0,0,0,0,GRAM~2#:#MASALA~2,1.5#:#1.5,1.5,1.5,1
1384,MASALA_SEASONING,3,3345,0,4,0,0,0,0,MASALA~2#:#SEASONING~2,1.5#:#1.5,1.5,1.5,1
1385,GRAM_SEASONING,2,3345,0,4,0,0,0,0,GRAM~2#:#SEASONING~2,1.0#:#1.0,1.0,1.0,1
1386,BARBECUE_PACK,2,3345,1,4,0,0,0,0,BARBECUE~2#:#PACK~3,1.0#:#0.67,1.0,0.67,0
1387,BARBECUE_MASALA,3,3345,0,4,0,0,0,0,BARBECUE~2#:#MASALA~2,1.5#:#1.5,1.5,1.5,1
1388,BARBECUE_SEASONING,3,3345,0,4,0,0,0,0,BARBECUE~2#:#SEASONING~2,1.5#:#1.5,1.5,1.5,1
1389,CHICKEN_MASALA,5,3345,0,4,0,0,0,0,CHICKEN~3#:#MASALA~2,1.67#:#2.5,2.5,1.67,1
1390,PACK_POWDER,4,3345,2,4,0,0,0,0,PACK~3#:#POWDER~2,1.33#:#2.0,2.0,1.33,1
1391,BURGER_PACK,9,3345,1,4,0,0,0,0,BURGER~2#:#PACK~3,4.5#:#3.0,4.5,3.0,1
1392,BURGER_GRAM,3,3345,0,4,0,0,0,0,BURGER~2#:#GRAM~2,1.5#:#1.5,1.5,1.5,1
1393,GOOD_SAUSAGE,3,3345,0,4,0,0,0,0,GOOD~2#:#SAUSAGE~2,1.5#:#1.5,1.5,1.5,1
1394,REAL_SAUSAGE,3,3345,0,4,0,0,0,0,REAL~2#:#SAUSAGE~2,1.5#:#1.5,1.5,1.5,1
1395,SALAMI_VENKY,3,3345,0,4,0,0,0,0,SALAMI~2#:#VENKY~2,1.5#:#1.5,1.5,1.5,1
1396,GODREJ_SALAMI,7,3345,0,4,0,0,0,0,GODREJ~2#:#SALAMI~2,3.5#:#3.5,3.5,3.5,1
1397,GOOD_SALAMI,4,3345,0,4,0,0,0,0,GOOD~2#:#SALAMI~2,2.0#:#2.0,2.0,2.0,1
1398,REAL_SALAMI,4,3345,0,4,0,0,0,0,REAL~2#:#SALAMI~2,2.0#:#2.0,2.0,2.0,1
1399,PRASUMA_SAUSAGE,8,3345,0,4,0,0,0,0,PRASUMA~2#:#SAUSAGE~2,4.0#:#4.0,4.0,4.0,1
1400,BREAST_PRASUMA,4,3345,0,4,0,0,0,0,BREAST~2#:#PRASUMA~2,2.0#:#2.0,2.0,2.0,1
1401,BONELESS_PRASUMA,2,3345,0,4,0,0,0,0,BONELESS~2#:#PRASUMA~2,1.0#:#1.0,1.0,1.0,1
1402,PRASUMA_WINGS,2,3345,0,4,0,0,0,0,PRASUMA~2#:#WINGS~2,1.0#:#1.0,1.0,1.0,1
1403,PACK_PRASUMA,5,3345,1,4,0,0,0,0,PACK~3#:#PRASUMA~2,1.67#:#2.5,2.5,1.67,1
1404,CUTS_PRASUMA,4,3345,0,4,0,0,0,0,CUTS~2#:#PRASUMA~2,2.0#:#2.0,2.0,2.0,1
1405,CHICKEN_ROASTED,4,3345,0,4,0,0,0,0,CHICKEN~3#:#ROASTED~2,1.33#:#2.0,2.0,1.33,1
1406,CUBES_LICIOUS,2,3345,0,4,0,0,0,0,CUBES~2#:#LICIOUS~2,1.0#:#1.0,1.0,1.0,1
1407,CHICKEN_GARLIC,4,3345,0,4,0,0,0,0,CHICKEN~3#:#GARLIC~2,1.33#:#2.0,2.0,1.33,1
