,word,freq
673,DELICIOUS,6
674,AVOCADO,18
675,HASS,18
676,MEDIUM,18
677,RELIANCE,28
678,DRIED,13
679,NUTRAJ,3
680,SEEDLESS,20
681,NAVEL#ORANGES,9
682,CARB,14
683,GRAPEFRUIT,7
684,COTTON,1
685,GRAPES,20
686,DROP,1
687,MOON,5
688,BARTLETT,7
689,LOOSE,24
690,BOSC,2
691,ANJOU,3
692,PLUMS,2
693,YELLOW,25
694,APRICOTS,3
695,DRAGON,1
696,EXOTIC,3
697,NUTRIENTS,1
698,ALPHANSO,1
699,MANGO,12
700,IMPORTED,3
701,KIWI,6
702,CHERRIES,6
703,BEETROOT,2
704,CABBAGE,5
705,GOURD,2
706,CELERY,3
707,STALK,2
708,BUNCH,8
709,CARROT,4
710,SPRING,5
711,LEAVES,11
712,SPINACH,5
713,BULBS,2
714,PRODUCE,5
715,LONG,9
716,LEAF,8
717,LETTUCE,7
718,ICEBERG,2
719,RADISH,2
720,ROOT,3
721,SUN,6
722,BOK#CHOY,3
723,HERB,16
724,CORIANDER,5
725,PARSLEY,5
726,CURLY,1
727,SAGE,1
728,PORTOBELLO,2
729,BELL#GROWN,7
730,GREENHOUSE,5
731,HYDROPONIC,8
732,ANAHEIM,1
733,POBLANO,1
734,TO,3
735,SERRANO,1
736,PURPLE,2
737,GOLDEN,2
738,DECORATIVE,3
739,WARTED,1
740,RIPE,4
741,VINE,5
742,CLUSTER,2
743,HARVEST,1
744,BOWL,5
745,SUPER,4
746,BRUSSELS,1
747,BROCCOLI,6
748,ADDED,7
749,NO,9
750,PECANS,4
751,PROV,1
752,TURKISH,1
753,OPEN,1
754,SECRET,5
755,ROSTAA,4
756,TRAIL,4
757,ROAD,1
758,ROCKY,2
759,FARMLEY,2
760,SOKLET,1
761,CALIFORNIA,2
762,WALNUT,2
763,SNACKIBLE,1
764,YOGURT,42
765,GRITTIES,1
766,NUTTY,3
767,MA,2
768,CAULIFLOWER,2
769,BUTTERNUT#SQUASH,3
770,CANTALOUPE,1
771,PINEAPPLE,12
772,GINGER,5
773,WELLNESS,1
774,IMMUNITY,4
775,KAPIVA,4
776,CAYENNE,1
777,BOOSTER,1
778,HAPPYBOOCH,5
779,KOMBUCHA,10
780,ATMOSPHERE,4
781,CITRUS,6
782,PASSION,2
