,ing_id,cls_rep_id
314,20873,20873
315,20001,20001
316,20069,20069
317,20188,20188
318,20588,20588
319,21010,21010
320,21013,21013
321,10257,10257
322,11231,11231
323,11230,11230
324,10980,10980
325,10985,10985
326,10124,10124
327,10889,10889
328,10838,10838
329,10843,10838
330,10840,10838
331,10844,10844
332,10128,10844
333,10824,10824
334,10016,10016
335,10371,10371
336,10384,10371
337,10369,10371
338,10021,10021
339,10036,10036
340,10406,10406
341,10660,10660
342,10673,10673
343,10635,10635
344,11098,11098
345,11106,11106
346,11107,11106
347,10310,10310
348,10311,10310
349,11011,11011
350,11021,11021
351,11039,11039
352,10558,10558
353,11087,11087
354,20963,20963
355,20716,20716
356,20777,20777
357,10875,20777
358,20977,20977
359,20888,20888
360,20889,20889
361,20026,20026
362,20347,20347
363,20351,20347
364,10675,20347
365,20528,20528
366,20112,20112
367,20603,20603
368,10559,10559
369,10260,10260
370,10261,10261
371,10250,10250
372,10317,10317
373,10986,10986
374,10547,10547
375,10806,10806
376,10022,10022
377,10352,10352
378,10359,10352
379,10403,10403
380,10417,10417
381,10037,10417
382,10043,10043
383,10039,10039
384,10641,10641
385,10704,10704
386,10669,10669
387,10712,10712
388,10491,10491
389,10149,10149
390,11001,10149
391,11036,11036
392,20070,11036
393,11058,11058
394,11059,11059
395,10174,10174
396,20790,20790
397,20791,20791
398,20339,20339
399,20393,20393
400,10114,20393
401,20122,20122
402,20130,20130
403,20133,20130
404,20599,20599
405,10003,10003
406,10105,10105
407,10129,10129
408,10845,10845
409,20418,10845
410,10342,10342
411,10340,10342
412,10373,10373
413,10024,10024
414,10361,10361
415,10409,10409
416,10402,10402
417,10949,10949
418,10947,10947
419,10972,10947
420,10959,10959
421,10963,10963
422,10962,10963
423,10966,10963
424,10534,10534
425,11103,11103
426,10011,10011
427,10272,10272
428,10284,10284
429,10293,10293
430,10288,10293
431,10152,10152
432,10153,10152
433,11029,11029
434,11037,11037
435,20694,20694
436,20982,20982
437,20025,20025
438,20041,20041
439,20338,20338
440,10614,20338
441,20386,20386
442,20101,20101
443,20134,20134
444,20167,20167
445,20166,20167
446,20562,20562
447,20573,20573
448,20572,20573
449,10435,10435
450,10933,10933
451,10002,10002
452,10574,10574
453,10548,10548
454,10819,10819
455,10780,10780
456,10868,10868
457,10871,10868
458,10872,10868
459,10893,10868
460,10800,10800
461,10382,10382
462,10357,10357
463,10046,10046
464,10047,10046
465,10045,10046
466,10419,10419
467,10042,10042
468,10035,10042
469,10062,10062
470,10588,10062
471,10589,10062
472,10590,10062
473,10591,10062
474,10595,10062
475,10592,10062
476,10593,10062
477,10594,10062
478,10596,10062
479,10654,10654
480,10657,10654
481,10093,10093
482,10730,10730
483,10732,10732
484,11172,11172
485,10516,10516
486,10515,10516
487,10526,10526
488,11008,11008
489,11016,11016
490,10177,10177
491,20850,20850
492,20668,20668
493,20684,20684
494,20858,20858
495,20986,20986
496,20987,20986
497,20988,20986
498,20293,20293
499,20349,20349
500,20383,20383
501,20385,20385
502,20114,20114
503,20131,20131
504,10282,20131
505,20129,20131
506,20109,20131
507,20172,20172
508,20692,20692
509,10259,10259
510,10542,10542
511,10182,10182
512,10131,10131
513,10828,10828
514,10876,10876
515,10336,10336
516,10344,10336
517,10331,10331
518,10387,10387
519,10388,10388
520,10389,10389
521,10390,10389
522,10424,10389
523,10659,10659
524,20220,10659
525,20224,10659
526,10095,10095
527,10735,10095
528,10076,10076
529,10661,10661
530,10711,10711
531,10684,10684
532,10524,10524
533,10538,10538
534,10540,10538
535,11093,11093
536,10269,10269
537,10289,10289
538,10294,10294
539,10158,10158
540,10167,10167
541,10999,10999
542,11018,11018
543,10155,11018
544,11020,11020
545,20670,20670
546,20680,20680
547,20681,20681
548,20713,20713
549,20835,20835
550,20834,20835
551,20833,20835
552,20978,20978
553,20901,20901
554,20366,20366
555,20061,20061
